Work Item Type,Title,Description,Acceptance Criteria,Parent
User Story,Editar temporada,Yo como administrador del sistema quiero editar una temporada para entonces actualizar fechas y semanas según cambios en el calendario de la NFL.,"• Se pueden editar nombre, cantidad de semanas, fecha de inicio y fecha de fin de una temporada existente, excepto su identificador y fecha de creación.
• El cambio de temporada actual requiere confirmación explícita y desmarca automáticamente la previamente marcada.
• Se aplican las mismas validaciones de fechas que en la creación.
Alternos:
• Si las nuevas fechas se traslapan con otra temporada, se muestra error y no se guarda.
• Si ocurre un fallo de red o base de datos, no se aplican cambios parciales.",
User Story,Desactivar temporada,Yo como administrador del sistema quiero desactivar una temporada para entonces moverla a históricos y que deje de estar visible para los usuarios.,"• Se puede desactivar una temporada solo si no está marcada como actual y sus fechas de inicio y fin no están en el futuro.
• Al desactivarse, la temporada se mueve a históricos para control administrativo y deja de ser visible para usuarios finales.
• La desactivación requiere confirmación explícita.
Alternos:
• Si se intenta desactivar una temporada actual o con fechas futuras, se rechaza la operación con mensaje claro.",
User Story,Eliminar temporada,Yo como administrador del sistema quiero eliminar una temporada para entonces retirar datos obsoletos del sistema.,"• Solo se puede eliminar una temporada que no tenga ligas activas asociadas y que no esté marcada como temporada actual.
• Se solicita confirmación explícita antes de borrar.
Alternos:
• Si hay ligas activas vinculadas o la temporada está marcada como actual, se bloquea la eliminación y se informa el motivo.",
User Story,Crear esquema de puntuación base,Yo como administrador del sistema quiero crear un esquema de puntuación base para entonces ofrecer nuevos modelos de scoring a las ligas.,"• Se pueden ingresar nombre, descripción y reglas de puntos detalladas.
• El sistema autogenera identificador único y fecha de creación.
• Se valida que el nombre sea único.
Alternos:
• Si el nombre ya existe, se rechaza con mensaje claro.",
User Story,Editar esquema de puntuación base,Yo como administrador del sistema quiero editar un esquema de puntuación base para entonces ajustar sus puntos o descripción.,"• Se pueden editar nombre, descripción y reglas de puntos de un esquema existente, excepto su identificador y fecha de creación.
• Cambios se versionan con historial (quién, cuándo, qué campo).
Alternos:
• Si el esquema está en uso en ligas activas, los cambios solo afectan ligas futuras y no alteran las vigentes.",
User Story,Desactivar esquema de puntuación base,Yo como administrador del sistema quiero desactivar un esquema de puntuación base para entonces evitar que se use en nuevas ligas.,"• Solo se pueden desactivar esquemas que no sean utilizados en ligas en Pre-Draft.
• La desactivación requiere confirmación explícita.
Alternos:
• Si el esquema está en uso en una liga en Pre-Draft, se rechaza con mensaje claro.",
User Story,Crear esquema de posiciones,Yo como administrador del sistema quiero crear un esquema de posiciones para entonces ofrecer nuevas configuraciones a las ligas.,"• Se pueden ingresar nombre, descripción y listado de posiciones con cantidades mínimas y máximas.
• El sistema valida unicidad del nombre y autogenera identificador único y fecha de creación.
Alternos:
• Si el nombre ya existe, se rechaza con mensaje claro.",
User Story,Editar esquema de posiciones,Yo como administrador del sistema quiero editar un esquema de posiciones para entonces ajustar su configuración de roles.,"• Se pueden editar posiciones y cantidades, manteniendo identificador y fecha de creación.
• Cambios se versionan con historial de edición.
Alternos:
• Si el esquema está en uso en una liga en Pre-Draft, solo se permiten cambios compatibles (p.ej. descripciones).",
User Story,Desactivar esquema de posiciones,Yo como administrador del sistema quiero desactivar un esquema de posiciones para entonces evitar su uso en nuevas ligas.,"• Se pueden desactivar esquemas no usados en ligas en Pre-Draft.
• La desactivación requiere confirmación explícita.
Alternos:
• Si el esquema está en uso en una liga en Pre-Draft, se rechaza la operación con mensaje claro.",
User Story,Editar modalidad de draft,Yo como administrador del sistema quiero editar una modalidad de draft para entonces ajustar su descripción o reglas.,"• Se pueden editar nombre, descripción y reglas de una modalidad existente, excepto su identificador y fecha de creación.
• Cambios se versionan con historial de edición.
Alternos:
• Si la modalidad está en uso en una liga en Pre-Draft, los cambios solo afectan ligas futuras.",
User Story,Desactivar modalidad de draft,Yo como administrador del sistema quiero desactivar una modalidad de draft para entonces evitar su uso en nuevas ligas.,"• Se pueden desactivar modalidades no usadas en ligas en Pre-Draft.
• La desactivación requiere confirmación explícita.
Alternos:
• Si la modalidad está en uso en una liga en Pre-Draft, se rechaza la operación con mensaje claro.",
User Story,Modalidad de draft Estándar,Yo como administrador del sistema quiero poner a disposición el formato de draft Estándar por turnos para entonces permitir un formato intuitivo de selección.,"• Creación del draft: el usuario puede crear un draft especificando nombre, descripción, cantidad de equipos y total de espacios del roster.
• El sistema asigna un ID único y estado “Activo”.
• Ejecución Estándar: el sistema genera el orden de turnos 1→N en cada ronda (reinicia en 1 cada vez) y cada equipo obtiene exactamente un turno por ronda.
• Tiempo por pick: valor por defecto 30 s; al expirar sin selección se asigna en automático el jugador disponible con mayor ranking y se pasa el turno.
• Estados del draft: Configurado → En_Progreso → Cerrado.
• Solo puede existir un draft activo por liga.
• Un jugador no puede ser elegido dos veces; no se permiten rondas con menos de dos equipos.
• Cierre del draft: se cierra al completar todas las rondas previstas para todos los equipos (no se exige cubrir posiciones específicas).",
User Story,Modalidad de draft Snake,Yo como administrador del sistema quiero poner a disposición el formato de draft Snake por turnos para entonces habilitar a los comisionados a balancear la asignación de jugadores alternando el orden natural.,"• Creación del draft: el usuario puede crear un draft especificando nombre, descripción, cantidad de equipos y total de espacios del roster.
• El sistema asigna un ID único y estado “Activo”.
• Ejecución Snake: el sistema genera el orden de turnos 1→N, N→1, 1→N, … y cada equipo obtiene exactamente un turno por ronda.
• Tiempo por pick: valor por defecto 30 s; al expirar sin selección se asigna en automático el jugador disponible con mayor ranking y se pasa el turno.
• Estados del draft: Configurado → En_Progreso → Cerrado.
• Solo puede existir un draft activo por liga.
• Un jugador no puede ser elegido dos veces; no se permiten rondas con menos de dos equipos.
• Cierre del draft: se cierra al completar todas las rondas previstas para todos los equipos (no se exige cubrir posiciones específicas).",
User Story,Modalidad de draft Subasta,Yo como administrador del sistema quiero habilitar la modalidad de draft por Subasta para entonces permitir pujas con presupuesto limitado hasta completar los rosters.,"• Creación de subasta: el comisionado crea el draft tipo subasta indicando nombre, descripción, presupuesto por equipo, cantidad de espacios por roster y liga asociada.
• El sistema asigna un ID único y estado inicial Configurado.
• Presentación de jugadores: el sistema muestra jugadores uno a uno según su ranking.
• Tiempo de puja: cada jugador abre una ventana de puja de 30 s por defecto.
• Proceso de puja: los equipos pueden pujar mientras tengan presupuesto y espacios disponibles; cada nueva puja debe superar en ≥1 unidad monetaria la puja vigente.
• Actualización en tiempo real: la plataforma muestra la puja más alta y el tiempo restante.
• Ganador y asignación: al terminar el tiempo, el mayor postor obtiene al jugador y su presupuesto disminuye por el importe de la puja.
• Sin pujas: si nadie puja, el jugador no se asigna y se pasa al siguiente.
• Restricciones: equipos sin presupuesto o con roster completo no pueden ofertar.
• Cierre de subasta: continúa hasta que cada equipo complete su número de espacios o se quede sin presupuesto.
• Asignación automática final: al concluir, los equipos con espacios vacíos reciben jugadores de menor costo en orden inverso de ranking hasta completar su roster.
• Estados del draft: Configurado → En_Progreso → Cerrado.",
User Story,Invitar participante por correo y enlace seguro,Yo como comisionado de liga quiero invitar participantes ingresando su correo para entonces enviarles un enlace seguro 1:1 que permita unirse sin compartir la contraseña de la liga.,"• El comisionado ingresa un correo y el sistema genera un enlace de invitación único y seguro 1:1 para ese correo.
• El enlace permite unirse a la liga sin requerir la contraseña de la liga.
• Cada enlace solo puede usarse una única vez.
• No se maneja expiración del enlace.
• El sistema valida que la liga exista, esté activa y tenga cupos disponibles.
• Se registra auditoría de quién generó el enlace y su estado de uso (pendiente/usado).
• Al enviar la invitación por correo, el destinatario recibe el enlace para unirse.
Alternos:
• Si la liga no existe, está inactiva o no hay cupos, no se genera el enlace y se muestra un mensaje claro.
• Si el correo ya tiene una invitación generada y no usada, se informa y no se crea un duplicado.
• Si el usuario ya pertenece a la liga, se informa y no se genera el enlace.
• Si el usuario ya pertenece a la liga, se informa y no se agrega.",
User Story,Aceptar invitación por enlace,Yo como usuario invitado quiero aceptar una invitación mediante un enlace para entonces unirme a la liga de forma rápida y segura.,"• Al abrir el enlace, el sistema valida que sea válido, no usado, que exista la liga, que esté activa y que existan cupos.
• Si el usuario no ha iniciado sesión, se le solicita autenticarse o registrarse antes de unirse.
• Para unirse, el usuario debe definir alias y nombre de equipo; ambos deben ser únicos dentro de la liga.
• Tras la aceptación, el usuario queda registrado en la liga y se actualiza el contador de cupos disponibles.
• El sistema marca el enlace como usado e inhabilita su reutilización.
• Se registra auditoría de la incorporación (usuario, fecha/hora).
Alternos:
• Si el enlace no es válido o ya fue usado, se informa y se ofrece solicitar una nueva invitación.
• Si no hay cupos, se rechaza la incorporación con mensaje claro.
• Si alias o nombre de equipo ya existen en la liga, se solicita elegir otros valores antes de continuar.",
User Story,Buscar liga y unirse con contraseña,Yo como usuario quiero buscar una liga por nombre y unirme ingresando la contraseña para entonces participar cuando ya conozco sus datos.,"• El usuario puede buscar ligas por nombre con filtros de temporada y estado.
• Para unirse, el sistema solicita la contraseña de la liga.
• El sistema valida liga existente, activa, contraseña correcta y cupos disponibles.
• Para unirse, el usuario debe definir alias y nombre de equipo; ambos deben ser únicos dentro de la liga.
• Al unirse, se reduce el cupo disponible y se registra auditoría de la incorporación (usuario, fecha/hora).
Alternos:
• Si la contraseña es incorrecta, se muestra error genérico sin revelar detalles.
• Si la liga no existe, está inactiva o no hay cupos, se rechaza con mensaje claro.
• Si alias o nombre de equipo ya existen en la liga, se solicita elegir otros valores antes de continuar.
• Si el usuario ya pertenece a la liga, se informa y no se agrega.",
User Story,Abandonar liga,Yo como manager quiero abandonar una liga para entonces dejar de participar con mi equipo.,"• El usuario puede abandonar la liga únicamente cuando la liga está en estado Pre-Draft.
• La acción solicita confirmación e indica impactos (pérdida de equipo en la liga).
• Tras abandonar, aumenta el cupo disponible de la liga.
• Se registra auditoría (usuario, fecha/hora).
Alternos:
• Si la liga no está en estado Pre-Draft, se rechaza con mensaje claro.
• Si el usuario es el único comisionado, se debe traspasar el rol antes de abandonar.
• Si el usuario no pertenece a la liga, se informa y no se realizan cambios.",
User Story,Traspasar rol de comisionado,Yo como comisionado de liga quiero traspasar mi rol a otro miembro para entonces asegurar continuidad operativa con un único comisionado.,"• El comisionado puede seleccionar a un miembro existente para traspasar el rol.
• El sistema solicita confirmación del traspaso.
• Tras confirmarse, el destinatario queda como comisionado y el emisor pierde ese rol.
• El sistema asegura que solo exista un comisionado al finalizar el proceso.
• Se registra auditoría (emisor, receptor, fecha/hora).
Alternos:
• Si el destinatario no es miembro vigente de la liga, se rechaza con mensaje claro.
• Si ocurre un fallo durante el traspaso, no se aplican cambios parciales.",
User Story,Gestionar invitaciones pendientes,Yo como comisionado de liga quiero ver y revocar invitaciones pendientes para entonces mantener control sobre quién puede unirse.,"• El comisionado puede listar invitaciones activas con estado, email, expiración y usos restantes.
• Puede revocar una invitación; tras revocarse el enlace queda inválido.
• Se registra auditoría de revocaciones.
Alternos:
• Si la invitación ya expiró o fue usada, no se puede revocar y se informa el estado.",
User Story,Crear sesión de draft en tiempo real,"Yo como comisionado de liga quiero planear una sesión de draft en tiempo real para entonces definir fecha, hora, modalidad y reglas de selección antes del evento.","• Se puede crear la sesión indicando liga, modalidad (Estándar, Snake, Subasta u otra habilitada), fecha y hora de inicio, cantidad de equipos, rondas totales, duración por pick configurable entre 30 s y 3 min, y nombre de la sesión.
• El comisionado define el orden de selección como: Manual (arrastrar/ordenar equipos), Aleatorio, Ranking temporada anterior o Ranking inverso temporada anterior; quienes no tengan ranking previo se ordenan aleatoriamente.
• La sesión inicia en estado Configurado y queda asociada a una única liga (solo una sesión activa por liga).
• El sistema valida que la liga esté en estado Pre-Draft y que el conteo de equipos coincida con la configuración.
• Se autogeneran un identificador único y fecha/hora de creación.
Alternos:
• Si la liga no está en Pre-Draft o la cantidad de equipos no coincide, se rechaza la creación con mensaje claro.
• Si ya existe una sesión activa para la liga, se rechaza la creación y se informa el conflicto.",
User Story,Iniciar sesión de draft,Yo como comisionado de liga quiero que la sesión de draft se abra automáticamente cerca del inicio para entonces comenzar puntualmente con el conjunto correcto de jugadores.,"• Cinco minutos antes de la fecha y hora configuradas, la sesión cambia automáticamente a estado Abierta y notifica a los participantes.
• Al llegar la hora configurada de inicio, la sesión pasa a En_Progreso y se publica el orden de turnos y el formato de draft seleccionado (Estándar, Snake, Subasta, etc.).
• Desde el inicio, se muestran las posiciones de roster configuradas para la liga.
• Antes de pasar a En_Progreso, el sistema carga todos los jugadores activos de la NFL que correspondan a las posiciones configuradas de la liga.
• Por defecto, todos los equipos entran en modo Autopick; al unirse a la sesión cambian a modo Manual.
• El sistema verifica que todos los equipos requeridos estén registrados.
• Estados del draft: Agendado → Abierta → En_Progreso → Cerrado (Finalizado).
Alternos:
• Si faltan equipos o hay inconsistencias de configuración, el inicio se bloquea con mensaje claro.
• Si la sesión ya está En_Progreso o Cerrado, no puede volver a iniciarse.",
User Story,Orquestación de turnos y control de orden,Yo como participante quiero que el sistema orqueste los turnos y el orden del draft para entonces tener una secuencia transparente y justa de selecciones.,"• El sistema determina y sigue el orden por ronda conforme al formato configurado en la sesión (Estándar, Snake u otro).
• Cada equipo recibe exactamente un turno por ronda; solo el equipo en turno puede confirmar su pick.
• El cambio de turno se propaga en tiempo real a todos los participantes.
• Las solicitudes de pick fuera de turno se rechazan con mensaje claro.
Alternos:
• Si dos solicitudes válidas llegan casi simultáneamente, se acepta la primera validada y se rechaza la posterior con mensaje de conflicto.",
User Story,Cronómetro por pick,Yo como participante quiero ver un cronómetro sincronizado por pick para entonces conocer el tiempo restante de mi turno.,"• Cada turno inicia un cronómetro con la duración configurada al inicio de la sesión.
• El cronómetro se ejecuta siempre que el equipo esté en modo Manual; si está en Autopick, no se ejecuta.
• Todos los clientes visualizan el mismo tiempo restante para el pick en curso.
• Al finalizar el tiempo sin pick confirmado, el sistema cambia al equipo a estado Autopick y dispara el flujo correspondiente.
Alternos:
• Si el cronómetro no puede sincronizarse temporalmente, se muestra tiempo estimado y se corrige automáticamente al recibirse el estado autoritativo.",
User Story,Autopick,Yo como participante quiero que el sistema ejecute autopick cuando corresponda para entonces garantizar que el draft avance sin bloqueos.,"• El sistema selecciona automáticamente un jugador de la NFL disponible siempre por mayor ranking disponible.
• La asignación de autopick se completa y persiste antes de mover el turno al siguiente equipo.
• La asignación respeta las validaciones de unicidad de jugador.
• Se notifica al equipo afectado y al resto de participantes la ejecución del autopick.
Alternos:
• Si no hay jugadores que cumplan las reglas, se asigna el mejor disponible global y se documenta en auditoría.",
